pca0,pca1,target,pred,success
-0.2410148724075417,0.02851016018371411,0,0,1
-0.2578901668410008,-0.26834787212416544,5,5,1
0.19436523016949045,-0.4191562556550482,2,2,1
-0.24109625601038528,-0.15539675164325595,1,1,1
-0.20425823118822517,-0.062120516908228646,1,1,1
-0.25706369945241175,-0.2189821023960668,0,0,1
0.2846495223926689,0.4389456822089968,3,3,1
0.32206412117435895,-0.48450697991853053,2,2,1
-0.1054371929447372,0.3699261120570387,3,3,1
0.3348830691855272,1.0398878273842582,1,1,1
-0.2547191710516246,-0.18305789029279942,4,4,1
0.611955123421572,-0.4861821322111335,5,5,1
-0.24558941457984268,-0.20245062912903994,0,0,1
-0.23370553568203947,-0.18439211162466765,3,3,1
-0.16693097207643715,0.314798841940517,5,5,1
-0.1970717336004743,-0.1590634039979772,4,4,1
0.36819236210493334,1.000641858205001,3,3,1
-0.24979569626884252,-0.20492800805920003,0,0,1
1.8659811279608292,3.1583065516793467,3,3,1
-0.23626149145371414,-0.19829214318205124,4,4,1
-0.16539591460590808,0.3545734147395251,3,3,1
-0.2288203923254548,-0.13209181283627086,2,2,1
-0.2501256010411838,-0.1661189244952771,1,1,1
-0.22499160514932132,-0.20612991342278242,4,4,1
0.08695988927348548,-0.32900237010040645,5,5,1
-0.2419666818121431,-0.19460018614793434,5,5,1
0.3915875128368515,1.0285275408088332,2,2,1
0.27205535939063447,0.4749008950192295,4,4,1
-0.22770037212933758,-0.17803207158059012,2,2,1
3.6781885893418,-1.1886595976812457,3,3,1
0.35298825220118796,1.2899300361130843,3,3,1
-0.25392212464880964,-0.17907047313310218,4,4,1
-0.24920385997846553,-0.20666930358846217,2,2,1
-0.22402509506477414,-0.20305525898883545,5,5,1
-0.2434777114260346,-0.19213933820127715,2,2,1
0.2552085170254845,0.4367156025473957,4,4,1
-0.24619852693052918,-0.20221665622744844,2,2,1
-0.24164844384664094,-0.20162004317992827,1,1,1
-0.20676488864893736,-0.22852627467700737,5,5,1
4.572444485831694,-1.736083314452478,0,0,1
0.2813988421101443,-0.3999491522076221,4,4,1
-0.2442817007609851,-0.1934334187069627,3,3,1
-0.17152107928629065,0.36406766189162576,3,3,1
0.7589464559206308,0.9696759688863578,0,0,1
-0.19920822792120285,0.13820712019957823,4,4,1
-0.24664310420011984,-0.20065279803590472,4,4,1
-0.24937861558210042,-0.20495531515847926,2,2,1
-0.2329476545621482,-0.15533199681899257,5,5,1
0.395024968510128,-0.4514937581080047,5,5,1
-0.1965797086473785,-0.19461423185952093,2,2,1
-0.19589703455281,0.13675842569799002,0,0,1
-0.14450407860538705,0.36070039122263453,3,3,1
-0.2222170595086153,0.11498060168209394,5,5,1
-0.22373223841830484,-0.18416432288633308,4,4,1
-0.22457841466694609,0.11928488424564912,2,2,1
-0.24574737433652766,-0.19817461031889788,5,5,1
0.062317954204213544,0.2736226038040048,3,3,1
-0.24319539866166473,-0.19558087729157295,2,2,1
-0.2516420269481677,-0.11325253047869255,1,1,1
-0.24614187848587074,-0.20323458389950155,2,0,0
-0.2700084452224581,-0.2572418819743788,0,0,1
0.2874962439080694,0.4434775026159714,4,4,1
0.2604542157414866,0.4221043534159231,1,1,1
-0.22716378869991302,-0.12957558128872587,1,1,1
-0.2173767794271647,-0.19668024890773783,1,1,1
-0.2307175417952154,-0.21217442779356324,0,0,1
-0.1896758847251954,-0.1299408025756059,4,4,1
-0.1495674240616575,0.4432964202577752,0,0,1
